PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
9270399001002,896,66,242,8,678
9209023001002,1087,143,281,9,151
9213119001002,248,340,357,7,486
9218175001002,442,433,300,7,158
9224831001002,1507,16,320,4,853
9256255001002,539,207,227,2,371
9207423001002,467,102,243,9,62
9208063001002,1564,89,384,4,24
9208127001002,853,178,500,10,878
9208575001002,756,412,378,10,151
9208703001002,884,151,596,7,151
9208767001002,884,420,586,2,151
9208959001002,884,234,589,6,151
9209279001002,1087,484,567,5,151
9209855001002,421,112,375,3,151
9209599001002,710,79,229,9,47
9209983001002,611,260,386,5,543
9210239001002,100,101,295,1,19
9210303001002,100,100,234,1,19
9210431001002,950,422,405,3,19
9210495001002,1665,79,144,4,686
9211199001002,787,256,283,4,543
9211391001002,1222,399,520,6,464
9211455001002,1526,312,147,4,371
9212415001002,372,445,202,2,552
9212479001002,636,10,506,2,468
9213055001002,1663,254,116,4,464
9213375001002,54,91,464,8,299
9213631001002,45,301,125,2,261
9213823001002,502,223,415,8,966
9214335001002,41,456,611,8,854
9214527001002,534,219,520,10,986
9214591001002,1558,60,520,4,25
9214655001002,147,223,343,1,80
9214783001002,462,80,520,7,157
9214911001002,1713,355,520,8,432
9214975001002,131,240,244,10,486
9215039001002,691,420,520,2,699
9215103001002,131,376,286,11,486
9215231001002,534,171,37,2,986
9215295001002,1713,72,520,9,432
9215423001002,518,322,520,7,586
9215487001002,1222,104,555,2,464
9215551001002,490,392,520,5,141
9215615001002,416,248,349,11,678
9215807001002,167,401,352,2,986
9243071001002,715,100,635,0,893
9215935001002,1744,423,452,5,78
9215999001002,920,140,417,2,17
9216063001002,1744,129,523,1,78
9216127001002,537,225,112,6,927
9216383001002,1097,143,199,5,1002
9216447001002,780,159,356,10,113
9216639001002,928,311,520,9,19
9216767001002,545,285,300,8,596
9217023001002,144,101,262,1,19
9217087001002,711,382,224,11,41
9217151001002,492,162,494,5,26
9217279001002,711,86,110,3,41
9217407001002,456,494,637,6,113
9217535001002,440,3,188,2,19
9217727001002,394,6,224,10,105
9217791001002,1453,448,203,5,838
9217919001002,940,463,491,7,283
9218047001002,1234,101,22,4,19
9218431001002,583,200,496,2,47
9218687001002,1234,104,284,4,19
9218815001002,144,47,313,2,19
9218367001002,895,16,581,2,543
9219519001002,144,256,645,5,19
9219839001002,1326,201,615,11,231
9220031001002,435,4,403,3,917
9220095001002,912,444,542,1,687
9220351001002,831,179,543,10,597
9220671001002,643,239,556,11,164
9221375001002,110,370,246,2,340
9221503001002,974,216,174,8,132
9221759001002,707,80,546,8,78
9222079001002,389,38,243,5,158
9222655001002,1050,347,307,2,437
9222783001002,1325,216,100,7,326
9222911001002,1726,291,546,1,543
9223039001002,406,109,551,8,120
9223359001002,1779,394,144,5,970
9223551001002,465,165,546,4,47
9223615001002,1714,16,0,8,41
9223807001002,1219,27,205,2,19
9224383001002,611,332,520,0,543
9224575001002,396,99,375,8,211
9224895001002,822,101,286,1,596
9224959001002,822,296,530,5,596
9225343001002,1661,132,520,11,47
9225535001002,928,425,520,9,19
9225663001002,928,307,520,1,19
9225727001002,1779,6,520,0,970
9225855001002,522,25,482,1,986
9226175001002,53,411,536,6,627
9226239001002,455,140,181,9,412
9226367001002,1182,325,278,5,194
9226431001002,942,316,372,6,705
9226559001002,387,260,138,1,917
9226815001002,990,474,482,7,927
9243135001002,1188,128,411,0,809
9227839001002,1682,37,473,8,17
9227711001002,1248,283,141,9,486
9228031001002,376,378,619,9,961
9228095001002,1713,224,588,0,432
9228223001002,994,282,565,1,25
9228287001002,1504,14,542,5,947
9228415001002,910,355,543,10,986
9228607001002,506,177,543,11,19
9228863001002,506,163,543,10,19
9229311001002,1034,100,183,11,196
9229503001002,535,244,470,5,263
9229631001002,837,429,543,9,69
9230527001002,506,12,573,2,19
9230719001002,506,403,653,3,19
9231103001002,1716,115,466,1,191
9231167001002,7,115,284,2,928
9231615001002,860,32,546,7,596
9231807001002,1680,216,387,7,755
9232127001002,308,334,158,2,519
9232255001002,312,117,357,6,904
9232447001002,327,41,444,2,456
9232575001002,230,218,622,2,11
9232703001002,476,304,482,8,961
9232895001002,1633,149,328,7,848
9233279001002,1182,140,128,3,19
9233407001002,562,76,304,2,432
9233471001002,1520,23,245,6,209
9233599001002,1376,380,213,2,464
9234047001002,24,490,512,2,522
9234303001002,1522,15,100,5,988
9234367001002,1698,387,328,9,956
9234559001002,969,73,542,11,596
9234687001002,1427,444,229,2,561
9234879001002,520,97,482,1,158
9243199001002,133,79,124,8,47
9235135001002,1182,106,344,3,19
9235455001002,634,91,114,0,19
9235711001002,834,106,83,8,584
9235775001002,590,300,566,2,211
9235839001002,520,101,405,4,158
9235903001002,437,405,68,6,891
9236159001002,574,103,183,0,596
9236223001002,520,186,479,6,158
9236287001002,1669,116,150,7,81
9236479001002,634,104,69,10,19
9236607001002,1057,292,200,3,113
9236799001002,1387,93,482,11,120
9236863001002,1182,340,73,2,19
9236991001002,1516,352,482,9,624
9237375001002,834,361,221,2,584
9237439001002,1792,249,160,11,975
9237567001002,1699,11,344,8,986
9237887001002,276,240,217,9,689
9238015001002,1069,372,160,11,3
9238207001002,1337,380,160,0,749
9238399001002,1018,332,356,2,326
9238591001002,1719,365,650,2,340
9238655001002,24,114,615,2,132
9238911001002,18,152,125,8,49
9239231001002,1037,236,634,7,410
9239295001002,1639,145,577,2,0
9239551001002,1692,116,595,8,77
9239615001002,1619,154,357,1,516
9239999001002,308,269,195,2,519
9240255001002,308,232,92,0,519
9240575001002,357,120,357,3,492
9241087001002,1126,331,321,6,28
9241215001002,245,24,377,1,41
9241279001002,175,445,612,4,552
9241343001002,1387,104,326,8,120
9241407001002,520,205,221,10,158
9241727001002,466,362,346,6,74
9241855001002,520,4,51,2,158
9242431001002,878,181,19,7,19
9242623001002,878,139,21,9,19
9242687001002,878,238,321,3,19
9241983001002,466,317,126,5,103
9242047001002,474,224,532,9,507
9242175001002,878,2,21,0,19
9242943001002,520,100,293,1,158
9243903001002,330,357,357,0,483
9243967001002,1385,268,578,2,979
9244095001002,84,493,304,8,61
9244351001002,1753,357,317,1,796
9244479001002,248,343,357,4,486
9244543001002,1473,281,534,8,246
9244735001002,1479,126,236,2,806
9244863001002,1381,426,417,7,971
9245055001002,1339,216,26,9,472
9245119001002,60,216,333,7,380
9245183001002,312,64,583,2,327
9245247001002,229,222,184,11,857
9245567001002,97,65,292,8,360
9245631001002,220,381,357,4,1012
9245695001002,220,216,453,6,1012
9245759001002,1512,464,357,1,287
9245823001002,875,278,357,11,854
9245887001002,316,216,286,1,15
9246143001002,1479,140,357,6,405
9246207001002,307,449,357,11,664
9246399001002,258,310,530,2,619
9246655001002,1136,172,402,2,468
9246847001002,1374,201,152,8,299
9246975001002,174,218,478,9,516
9247167001002,1404,376,88,8,461
9247295001002,1619,218,86,5,299
9247679001002,1085,23,195,7,520
9247743001002,247,296,463,0,539
9248895001002,1361,350,357,10,492
9248319001002,1793,445,322,11,552
9248767001002,1800,231,395,6,539
9249599001002,1793,315,395,6,552
9249727001002,215,26,316,6,497
9249535001002,282,180,102,4,398
9250815001002,303,485,253,2,496
9250239001002,1792,216,89,5,274
9250303001002,330,357,357,11,485
9250367001002,111,88,408,8,516
