PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
257081001001,7,170,110,269,309,63,285
257529001001,14,962,34,279,79,20,444
257593001001,18,901,20,324,345,6,419
257785001001,24,33,84,23,94,20,113
259257001001,8,1128,28,214,224,53,616
259321001001,13,890,110,92,94,9,129
259513001001,15,999,20,12,9,8,615
259641001001,23,1495,18,84,25,35,198
259705001001,23,811,34,207,106,13,72
261881001001,11,209,34,102,94,20,97
262713001001,14,584,42,246,202,20,286
262777001001,6,1115,110,24,114,52,407
262841001001,14,410,115,24,344,20,272
262969001001,8,1106,34,74,74,20,406
263033001001,10,1585,110,180,189,51,524
263929001001,2,577,29,181,191,13,552
263993001001,15,899,81,278,289,0,225
264057001001,5,120,18,93,95,35,141
264121001001,15,627,81,278,352,20,225
264185001001,12,882,20,190,200,20,152
264249001001,15,697,42,129,221,1,193
264313001001,15,466,34,327,221,20,406
264377001001,15,1436,115,12,9,18,124
264441001001,15,484,20,263,166,20,615
264889001001,11,12,15,48,10,20,33
266361001001,2,1369,20,228,303,20,443
258041001001,3,1106,100,245,126,33,461
258297001001,23,861,20,233,271,16,470
258489001001,1,1273,20,318,313,20,229
258617001001,1,1382,115,212,217,20,272
258745001001,5,108,34,212,221,13,67
258809001001,13,584,42,137,94,20,286
258937001001,1,345,34,55,221,13,67
259001001001,3,697,61,289,304,20,87
259065001001,1,272,34,212,221,55,67
259193001001,16,1172,34,20,20,20,541
260473001001,20,1080,34,109,114,20,406
260601001001,24,288,34,109,114,20,475
260793001001,6,376,114,328,178,50,413
262265001001,13,912,20,285,296,19,439
262457001001,4,985,20,197,207,20,353
262521001001,8,633,20,263,303,20,588
262585001001,13,290,20,36,38,60,105
264697001001,25,460,18,42,44,20,524
265017001001,13,1070,20,330,351,54,503
265145001001,20,763,101,314,82,57,572
265785001001,7,1294,58,301,324,20,93
266169001001,17,1378,20,240,206,33,100
266425001001,20,958,20,113,118,40,377
266553001001,4,1378,20,240,127,53,414
257209001001,7,834,114,265,17,57,572
257273001001,4,839,20,265,199,20,554
257337001001,23,1297,20,265,235,39,340
257401001001,8,47,20,104,132,36,330
257657001001,10,1510,20,136,319,50,94
257721001001,7,1521,42,71,281,5,87
257913001001,15,579,28,70,10,20,350
259897001001,10,1326,34,157,165,10,362
260025001001,8,47,20,104,77,42,330
260089001001,4,47,115,240,127,20,35
260153001001,23,480,20,21,332,20,484
260281001001,23,1235,28,143,10,20,261
260409001001,10,154,118,22,285,50,3
261049001001,14,1279,34,170,178,12,200
261113001001,14,264,44,24,56,20,221
261177001001,14,1281,26,24,184,50,84
261369001001,23,329,57,58,288,59,497
262009001001,23,329,57,277,291,30,165
262073001001,23,837,44,246,77,20,525
262137001001,15,325,57,277,288,59,386
263097001001,6,254,34,74,74,13,321
263161001001,10,111,20,47,293,53,108
263225001001,0,1157,34,170,178,33,519
263353001001,10,35,44,250,351,20,160
263609001001,10,1082,81,65,150,13,548
263673001001,15,488,20,36,38,6,409
263737001001,15,766,20,37,303,20,615
263801001001,10,917,20,276,9,20,426
264825001001,13,1448,26,254,304,50,84
265209001001,12,1105,21,38,40,29,643
265273001001,10,738,34,170,193,20,596
265337001001,18,1396,20,170,178,2,105
265593001001,3,1560,115,212,221,20,166
257528001001,22,962,34,279,290,33,179
257592001001,6,109,20,74,74,20,318
257784001001,24,204,84,92,94,6,113
259256001001,13,199,20,309,327,46,237
259448001001,17,73,28,233,96,20,303
259512001001,15,342,34,15,125,32,596
259576001001,10,1111,81,326,112,20,225
259640001001,23,939,110,272,335,35,198
261880001001,11,1238,82,183,94,50,531
262776001001,4,1080,34,24,114,20,406
262840001001,9,439,58,24,229,20,93
263928001001,9,1335,18,93,95,35,141
264120001001,15,870,108,290,255,50,243
264248001001,15,342,34,272,125,20,294
266360001001,2,607,20,263,303,34,443
258104001001,7,661,44,120,330,20,553
258168001001,23,166,126,218,267,50,51
258488001001,1,215,84,212,330,20,400
258616001001,1,103,115,35,202,20,166
258680001001,13,928,110,28,218,35,532
258744001001,1,1080,34,109,114,1,499
258872001001,1,1095,34,271,122,41,362
259128001001,1,288,34,109,114,47,321
260472001001,23,212,34,109,114,0,143
260536001001,10,1426,20,170,34,20,615
262264001001,13,912,20,46,296,33,432
262328001001,13,747,115,5,5,45,166
262520001001,13,604,20,263,303,32,318
264952001001,13,610,34,5,314,20,406
265016001001,4,1171,20,330,351,20,163
265144001001,20,763,114,52,82,57,572
265784001001,7,1263,46,216,226,33,557
266424001001,20,742,20,113,118,15,219
266744001001,17,1554,20,49,108,20,326
257208001001,7,178,76,265,302,50,212
257336001001,23,653,114,265,332,20,99
257400001001,8,47,20,104,100,57,575
257912001001,15,385,28,9,93,48,133
257976001001,5,1322,29,261,10,20,613
259896001001,10,332,34,157,73,13,72
260088001001,19,47,20,240,127,33,331
260152001001,23,1277,20,253,175,20,298
260280001001,23,1489,20,113,118,44,108
261048001001,14,1248,34,132,138,8,487
261176001001,14,609,115,24,221,29,146
261432001001,23,283,20,265,249,33,383
261752001001,20,822,114,113,196,57,572
261944001001,5,928,110,129,135,35,192
262136001001,3,325,57,277,288,50,510
263096001001,23,148,28,229,237,1,449
263160001001,12,286,110,331,114,35,563
263288001001,20,1114,34,109,114,13,321
263352001001,2,35,44,282,293,20,160
263672001001,15,1447,20,12,295,39,305
263800001001,10,558,21,157,262,33,598
264568001001,13,923,20,21,21,10,148
264760001001,13,1192,34,136,142,56,143
264824001001,13,75,81,233,113,20,225
265272001001,10,1102,18,83,173,35,198
265592001001,2,751,115,212,221,20,166
257583001001,14,59,83,191,202,5,501
257775001001,24,76,42,92,94,51,193
259311001001,13,1070,20,330,292,20,189
259439001001,15,1191,81,36,101,20,225
259567001001,10,690,34,295,165,13,321
259631001001,23,1036,42,261,87,20,151
259695001001,23,1165,110,254,335,35,532
262703001001,0,103,115,24,202,20,166
262767001001,14,643,34,163,114,20,517
262831001001,14,466,34,24,178,52,406
263023001001,2,14,20,265,275,20,353
263983001001,9,955,20,237,247,20,361
264047001001,15,1504,20,235,243,28,495
264495001001,10,1101,34,12,286,13,143
264879001001,5,980,80,48,49,20,252
258159001001,23,1238,82,25,24,42,43
258223001001,23,939,110,316,274,20,524
258543001001,3,1627,16,24,23,50,220
258735001001,1,209,110,92,237,20,612
258927001001,1,1396,20,119,283,20,105
259055001001,22,1080,34,109,114,33,519
260463001001,23,1294,28,238,151,20,261
261039001001,14,1174,42,124,221,20,286
262383001001,13,1353,34,316,335,48,72
262447001001,13,449,20,330,236,20,148
264559001001,20,525,114,79,83,55,572
264687001001,10,1467,42,42,170,50,369
264943001001,13,882,20,26,200,53,533
265007001001,13,1345,21,218,228,39,223
266415001001,20,632,20,261,272,34,237
266671001001,12,1075,44,104,261,33,127
266735001001,17,1378,20,98,179,33,467
266799001001,5,290,20,113,118,33,237
257071001001,10,18,114,265,275,10,413
257199001001,7,834,114,303,275,50,413
257327001001,23,465,20,204,275,20,302
257391001001,23,998,123,7,175,50,574
257647001001,12,988,26,270,319,50,84
257711001001,1,1200,11,41,43,20,4
257903001001,15,874,18,108,165,35,141
257967001001,10,701,18,164,172,19,198
258351001001,13,1605,85,203,284,50,626
259887001001,10,941,31,42,118,20,79
260079001001,8,47,20,104,308,20,564
260143001001,8,47,20,240,256,20,189
260207001001,23,265,44,64,49,20,525
260271001001,23,729,20,154,150,20,484
261103001001,20,616,34,217,227,20,97
261167001001,20,773,34,24,114,20,524
261423001001,23,326,57,265,34,50,246
261551001001,10,1093,42,7,165,50,296
261807001001,13,815,20,285,229,33,445
261935001001,0,1144,114,265,275,48,413
261999001001,23,329,57,209,288,30,88
262063001001,23,732,114,86,275,20,99
262127001001,23,325,57,277,83,11,481
263151001001,12,133,26,152,319,50,441
263279001001,18,1443,20,282,293,60,148
263343001001,18,1216,34,109,114,62,524
263471001001,15,488,20,36,294,20,250
