PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
124676607001002,241,302,625,238,49,81,12,929
124754495001002,368,1709,291,79,9,68,12,2022
124330239001002,300,978,631,211,0,119,12,1124
124391167001002,282,1489,281,211,9,77,81,1474
124560127001002,469,1390,725,64,40,91,12,1828
124248319001002,397,482,738,237,33,84,79,515
124247295001002,235,2284,725,23,6,75,12,19
124257791001002,88,677,291,63,51,119,68,2046
124768767001002,470,535,646,188,40,91,3,525
124298943001002,289,1211,392,211,22,111,12,274
124472447001002,368,73,737,214,43,23,62,1911
124811519001002,330,301,283,211,11,37,56,509
124677503001002,123,672,316,237,44,54,3,1401
124694655001002,188,978,631,211,24,93,12,1124
124731007001002,256,1989,604,238,51,119,47,511
125173311001002,94,448,747,215,31,81,13,1063
124795263001002,305,541,655,211,7,26,55,1887
124572735001002,232,1005,283,214,15,77,12,1582
124475327001002,401,2185,291,177,51,11,77,399
124505023001002,88,501,737,238,30,81,56,2036
124434175001002,188,1005,283,211,31,47,66,1582
124743167001002,314,1210,398,147,31,81,12,542
124320767001002,94,1499,728,58,51,119,28,437
124310399001002,462,547,725,168,31,81,45,2059
124419711001002,88,2284,322,241,25,119,12,354
124707327001002,119,164,684,227,12,38,39,1800
125299135001002,300,286,291,34,9,30,12,490
125158719001002,222,1251,587,191,40,28,12,1695
124695295001002,188,992,684,215,31,81,29,1396
124619839001002,79,85,725,51,15,119,12,1201
124974655001002,194,85,725,211,51,88,81,1201
124928319001002,76,85,725,211,7,110,15,1201
125081151001002,414,1124,291,211,20,91,12,484
125058495001002,46,1290,684,174,51,11,23,1298
125405823001002,117,286,291,79,43,95,12,490
125273215001002,289,535,385,211,39,111,12,1955
125112639001002,289,934,283,29,6,109,12,532
125260671001002,254,85,725,167,49,81,12,1201
124981503001002,232,1005,283,50,51,105,7,1582
124922815001002,46,295,573,91,30,118,25,1096
